degree_of_automation_context,occupation,importance_of_being_exact_or_accurate_context,importance_of_repeating_same_tasks_context,structured_versus_unstructured_work_context
0.7,Travel Agents,0.95,0.53,0.83
0.68,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",0.76,0.67,0.53
0.67,Medical and Clinical Laboratory Technologists,1.0,0.85,0.81
0.66,Chemical Plant and System Operators,0.87,0.76,0.64
0.66,Telephone Operators,0.93,0.97,0.27
0.65,Air Traffic Controllers,0.96,0.92,0.73
0.65,"Airline Pilots, Copilots, and Flight Engineers",0.96,0.74,0.66
0.65,Reservation and Transportation Ticket Agents and Travel Clerks,0.92,0.98,0.42
0.64,Biofuels Processing Technicians,0.85,0.72,0.77
0.63,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",0.67,0.5,0.75
0.62,"Claims Adjusters, Examiners, and Investigators",0.93,0.83,0.76
0.61,Customs Brokers,0.96,0.83,0.63
0.61,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",0.79,0.76,0.81
0.6,Biofuels Production Managers,0.82,0.63,0.78
0.6,Robotics Technicians,0.9,0.46,0.79
0.59,Motion Picture Projectionists,0.83,0.4,0.64
0.58,Computer Numerically Controlled Tool Operators,0.91,0.71,0.72
0.58,Customs and Border Protection Officers,0.89,0.78,0.73
0.58,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.88,0.69,0.7
0.57,Biomass Plant Technicians,0.74,0.83,0.78
0.57,Brokerage Clerks,0.93,0.88,0.78
0.57,Laundry and Dry-Cleaning Workers,0.73,0.52,0.55
0.57,Stationary Engineers and Boiler Operators,0.71,0.69,0.74
0.56,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",0.8,0.67,0.53
0.56,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.83,0.65,0.54
0.56,"Insurance Appraisers, Auto Damage",0.85,0.7,0.86
0.56,Insurance Claims and Policy Processing Clerks,0.88,0.87,0.77
0.56,Photographic Process Workers and Processing Machine Operators,0.68,0.56,0.68
0.55,Gas Plant Operators,0.78,0.57,0.82
0.55,Loan Officers,0.88,0.61,0.85
0.55,Medical and Health Services Managers,0.88,0.77,0.78
0.55,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",0.9,0.64,0.55
0.55,Ophthalmic Laboratory Technicians,0.82,0.79,0.83
0.53,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",0.76,0.58,0.65
0.53,Medical and Clinical Laboratory Technicians,0.97,0.83,0.73
0.53,Power Plant Operators,0.85,0.69,0.66
0.52,Geothermal Technicians,0.66,0.68,0.72
0.52,Prepress Technicians and Workers,0.91,0.68,0.71
0.52,Refuse and Recyclable Material Collectors,0.85,0.72,0.83
0.52,Telemarketers,0.7,0.65,0.61
0.51,Accountants and Auditors,0.93,0.71,0.79
0.51,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.93,0.63,0.64
0.51,Machinists,0.9,0.72,0.72
0.51,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.92,0.48,0.6
0.51,New Accounts Clerks,0.92,0.86,0.62
0.51,Nuclear Power Reactor Operators,0.98,0.77,0.51
0.51,Payroll and Timekeeping Clerks,0.97,0.98,0.87
0.51,Purchasing Managers,0.82,0.63,0.72
0.51,Textile Bleaching and Dyeing Machine Operators and Tenders,0.69,0.45,0.56
0.51,"Title Examiners, Abstractors, and Searchers",1.0,0.84,0.92
0.5,Cooling and Freezing Equipment Operators and Tenders,0.77,0.69,0.74
0.5,Credit Counselors,0.83,0.77,0.76
0.5,Document Management Specialists,0.76,0.59,0.73
0.5,Dredge Operators,0.52,0.35,0.61
0.5,Water and Wastewater Treatment Plant and System Operators,0.83,0.73,0.91
0.49,Bioinformatics Technicians,0.82,0.53,0.73
0.49,"Buyers and Purchasing Agents, Farm Products",0.85,0.8,0.92
0.49,"Credit Authorizers, Checkers, and Clerks",0.93,0.83,0.88
0.49,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",0.76,0.64,0.63
0.49,Human Resources Specialists,0.84,0.72,0.87
0.49,Loan Interviewers and Clerks,0.93,0.83,0.87
0.49,Logistics Analysts,0.79,0.75,0.77
0.49,"Mail Clerks and Mail Machine Operators, Except Postal Service",0.87,0.81,0.85
0.48,Budget Analysts,0.91,0.77,0.75
0.48,Computer Network Architects,0.76,0.35,0.77
0.48,"Cutting and Slicing Machine Setters, Operators, and Tenders",0.88,0.71,0.65
0.48,Database Administrators,0.75,0.55,0.63
0.48,Geographic Information Systems Technologists and Technicians,0.92,0.75,0.73
0.48,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.91,0.67,0.77
0.48,Metal-Refining Furnace Operators and Tenders,0.77,0.71,0.63
0.48,Radiation Therapists,0.97,0.92,0.71
0.47,Bill and Account Collectors,0.76,0.83,0.59
0.47,Bridge and Lock Tenders,0.74,0.63,0.71
0.47,Chemical Equipment Operators and Tenders,0.82,0.72,0.71
0.47,Food Cooking Machine Operators and Tenders,0.67,0.51,0.94
0.47,Foundry Mold and Coremakers,0.73,0.38,0.45
0.47,Freight Forwarders,0.86,0.73,0.86
0.47,Gambling Cage Workers,0.87,0.79,0.52
0.47,Insurance Underwriters,0.83,0.63,0.77
0.47,Lodging Managers,0.79,0.79,0.92
0.47,Machine Feeders and Offbearers,0.75,0.55,0.53
0.47,"Meat, Poultry, and Fish Cutters and Trimmers",0.88,0.63,0.47
0.47,Pharmacy Aides,0.87,0.7,0.74
0.47,Receptionists and Information Clerks,0.81,0.84,0.74
0.46,Adhesive Bonding Machine Operators and Tenders,0.72,0.66,0.58
0.46,Chemical Engineers,0.82,0.36,0.79
0.46,Computer Systems Analysts,0.87,0.79,0.78
0.46,"Court, Municipal, and License Clerks",0.86,0.82,0.75
0.46,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0.62,0.51,0.52
0.46,Customer Service Representatives,0.85,0.83,0.77
0.46,Data Entry Keyers,0.97,0.95,0.81
0.46,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",0.75,0.59,0.67
0.46,Helpers--Roofers,0.74,0.41,0.45
0.46,Logisticians,0.74,0.57,0.72
0.46,Semiconductor Processing Technicians,0.81,0.7,0.55
0.46,"Tax Examiners and Collectors, and Revenue Agents",0.9,0.88,0.71
0.45,Animal Scientists,0.79,0.56,0.9
0.45,Broadcast Announcers and Radio Disc Jockeys,0.87,0.56,0.85
0.45,Compensation and Benefits Managers,0.86,0.42,0.87
0.45,Dishwashers,0.62,0.5,0.73
0.45,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",0.9,0.82,0.88
0.45,Procurement Clerks,0.89,0.85,0.89
0.44,Civil Engineering Technologists and Technicians,0.75,0.52,0.66
0.44,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",0.85,0.51,0.71
0.44,Dietetic Technicians,0.86,0.59,0.8
0.44,Electrical and Electronics Drafters,0.89,0.73,0.7
0.44,"Eligibility Interviewers, Government Programs",0.8,0.75,0.73
0.44,Food Batchmakers,0.81,0.77,0.44
0.44,Gambling and Sports Book Writers and Runners,0.84,0.82,0.56
0.44,Gas Compressor and Gas Pumping Station Operators,0.79,0.69,0.83
0.44,Geodetic Surveyors,0.94,0.84,0.7
