	O*NET-SOC Code	Task ID	Task	Task Type	Title	human_exposure_agg	gpt4_exposure	gpt4_exposure_alt_rubric	gpt_3_relevant	gpt4_automation	alpha	beta	gamma	automation	human_labels
0	11-1011.00	8823.0	Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.	Core	Chief Executives	E0	E2	E2	False	T2	0.0	0.5	1.0	0.5	E0
1	11-1011.00	8831.0	Appoint department heads or managers and assign or delegate responsibilities to them.	Core	Chief Executives	E0	E0	E0	False	T1	0.0	0.0	0.0	0.25	E0
2	11-1011.00	8825.0	Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.	Core	Chief Executives	E2	E2	E2	False	T2	0.0	0.5	1.0	0.5	E2
3	11-1011.00	8826.0	Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.	Core	Chief Executives	E0	E2	E0	False	T1	0.0	0.5	1.0	0.25	E0
4	11-1011.00	8827.0	Prepare budgets for approval, including those for funding or implementation of programs.	Core	Chief Executives	E2	E2	E2	False	T2	0.0	0.5	1.0	0.5	E2
5	11-1011.00	8824.0	Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.	Core	Chief Executives	E0	E0	E0	False	T1	0.0	0.0	0.0	0.25	E0
6	11-1011.00	8836.0	Implement corrective action plans to solve organizational or departmental problems.	Core	Chief Executives	E1	E2	E2	False	T1	0.0	0.5	1.0	0.25	E1
7	11-1011.00	8832.0	Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.	Core	Chief Executives	E2	E2	E0	False	T1	0.0	0.5	1.0	0.25	E2
8	11-1011.00	8835.0	Establish departmental responsibilities and coordinate functions among departments and sites.	Core	Chief Executives	E0	E2	E2	False	T1	0.0	0.5	1.0	0.25	E0
9	11-1011.00	8833.0	Preside over, or serve on, boards of directors, management committees, or other governing boards.	Core	Chief Executives	E0	E0	E0	False	T1	0.0	0.0	0.0	0.25	E0
10	11-1011.00	8829.0	Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.	Core	Chief Executives	E0	E2	E0	False	T1	0.0	0.5	1.0	0.25	E0
11	11-1011.00	8837.0	Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.	Core	Chief Executives	E0	E2	E2	False	T2	0.0	0.5	1.0	0.5	E0
12	11-1011.00	8830.0	Review reports submitted by staff members to recommend approval or to suggest changes.	Core	Chief Executives	E1	E1	E2	False	T2	1.0	1.0	1.0	0.5	E1
13	11-1011.00	8839.0	Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.	Core	Chief Executives	E2	E1	E1	False	T2	1.0	1.0	1.0	0.5	E2
14	11-1011.00	8843.0	Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.	Core	Chief Executives	E1	E2	E2	False	T2	0.0	0.5	1.0	0.5	E1
15	11-1011.00	8834.0	Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.	Core	Chief Executives	E2	E2	E2	True	T2	0.0	0.5	1.0	0.5	E2
16	11-1011.00	20461.0	Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.	Core	Chief Executives	E2	E2	E2	False	T2	0.0	0.5	1.0	0.5	E2
17	11-1011.00	8846.0	Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.	Core	Chief Executives	E0	E2	E2	False	T1	0.0	0.5	1.0	0.25	E0
18	11-1011.00	8848.0	Direct or conduct studies or research on issues affecting areas of responsibility.	Core	Chief Executives	E1	E2	E2	False	T2	0.0	0.5	1.0	0.5	E1
19	11-1011.00	8828.0	Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.	Supplemental	Chief Executives	E2	E2	E2	False	T1	0.0	0.5	1.0	0.25	E2
20	11-1011.00	8844.0	Make presentations to legislative or other government committees regarding policies, programs, or budgets.	Supplemental	Chief Executives	E2	E2	E2	False	T2	0.0	0.5	1.0	0.5	E2
21	11-1011.00	8845.0	Refer major policy matters to elected representatives for final decisions.	Supplemental	Chief Executives	E1	E0	E0	False	T1	0.0	0.0	0.0	0.25	E1
22	11-1011.00	8847.0	Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.	Supplemental	Chief Executives	E0	E2	E2	False	T2	0.0	0.5	1.0	0.5	E0
23	11-1011.00	8851.0	Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings.	Supplemental	Chief Executives	E0	E2	E0	False	T1	0.0	0.5	1.0	0.25	E0
24	11-1011.00	8838.0	Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.	Supplemental	Chief Executives	E2	E2	E2	False	T1	0.0	0.5	1.0	0.25	E2
25	11-1011.00	8853.0	Prepare bylaws approved by elected officials, and ensure that bylaws are enforced.	Supplemental	Chief Executives	E2	E2	E0	False	T2	0.0	0.5	1.0	0.5	E2
26	11-1011.00	8840.0	Serve as liaisons between organizations, shareholders, and outside organizations.	Supplemental	Chief Executives	E2	E2	E0	False	T1	0.0	0.5	1.0	0.25	E2
27	11-1011.00	8849.0	Attend and participate in meetings of municipal councils or council committees.	Supplemental	Chief Executives	E0	E0	E0	False	T1	0.0	0.0	0.0	0.25	E0
